"CubeId";"auvekoma"
"PublishingDate";"2025-03-24 09:00"

"Date";"D0";"D1";"Value"
"1987";"N";"T1";"13844"
"1987";"N";"T2";"121615.1"
"1987";"N";"D";
"1987";"N";"T4";"35227.9241235"
"1987";"N";"T7";"49362"
"1988";"A";"T0";"670232.1"
"1988";"A";"T1";"82923.4"
"1988";"A";"B0";"60538.5"
"1988";"A";"K0";"22384.9"
"1988";"A";"T2";"265706"
"1988";"A";"S0T";"210225.9"
"1988";"A";"STK";"2363"
"1988";"A";"STL";"207862.9"
"1988";"A";"T3";"55480.1"
"1988";"A";"A";"55480.1"
"1988";"A";"K1";"0"
"1988";"A";"D";
"1988";"A";"T4";"273721.7"
"1988";"A";"T5";"195950.6"
"1988";"A";"N0";"0"
"1988";"A";"TB1";"179268"
"1988";"A";"FGB";"122632"
"1988";"A";"OH0";"178"
"1988";"A";"US0";"16504.6"
"1988";"A";"T6";"77696.1"
"1988";"A";"N1";"0"
"1988";"A";"TB2";"61623"
"1988";"A";"FGK";"61623"
"1988";"A";"OH1";"1207"
"1988";"A";"US1";"14866.1"
"1988";"A";"UA";"75"
"1988";"A";"T7";"47881"
"1988";"A";"G";"11904"
"1988";"A";"RIWF";"204"
"1988";"A";"S1";"30"
"1988";"A";"T8";"35700"
"1988";"A";"W";"35700"
"1988";"A";"BE";"0"
"1988";"A";"U";"43"
"1988";"P";"T0";"411670.92695"
"1988";"P";"T1";"58242.9"
"1988";"P";"B0";"48630.9"
"1988";"P";"K0";"9612"
"1988";"P";"T2";"114647"
"1988";"P";"S0T";"15742"
"1988";"P";"STK";"0"
"1988";"P";"STL";"15742"
"1988";"P";"T3";"98905"
"1988";"P";"A";"72722"
"1988";"P";"K1";"26183"
"1988";"P";"D";
"1988";"P";"T4";"238781.02695"
"1988";"P";"T5";"158595.502"
"1988";"P";"N0";"4841.502"
"1988";"P";"TB1";"153754"
"1988";"P";"VGB";"105745"
"1988";"P";"VGK";"48009"
"1988";"P";"OH0";
"1988";"P";"US0";"0"
"1988";"P";"T6";"25127.3"
"1988";"P";"N1";
"1988";"P";"OH1";"427"
"1988";"P";"US1";"24700.3"
"1988";"P";"UP";"55058.22495"
"1988";"N";"T0";"258561.17305"
"1988";"N";"T1";"24680.5"
"1988";"N";"T2";"151059"
"1988";"N";"D";
"1988";"N";"T4";"34940.67305"
"1988";"N";"T7";"47881"
"1989";"A";"T0";"752895.2"
"1989";"A";"T1";"98349.1"
"1989";"A";"B0";"73000"
"1989";"A";"K0";"25349.1"
"1989";"A";"T2";"288485.1"
"1989";"A";"S0T";"217218"
"1989";"A";"STK";"2636"
"1989";"A";"STL";"214582"
"1989";"A";"T3";"71267.1"
"1989";"A";"A";"71267.1"
"1989";"A";"K1";"0"
"1989";"A";"D";
"1989";"A";"T4";"314326"
"1989";"A";"T5";"209133"
"1989";"A";"N0";"0"
"1989";"A";"TB1";"190020"
"1989";"A";"FGB";"108599"
"1989";"A";"OH0";"146"
"1989";"A";"US0";"18967"
"1989";"A";"T6";"86763"
"1989";"A";"N1";"0"
"1989";"A";"TB2";"67235"
"1989";"A";"FGK";"67235"
"1989";"A";"OH1";"1282"
"1989";"A";"US1";"18246"
"1989";"A";"UA";"18430"
"1989";"A";"T7";"51735"
"1989";"A";"G";"11904"
"1989";"A";"RIWF";"64"
"1989";"A";"S1";"124"
"1989";"A";"T8";"39620"
"1989";"A";"W";"39620"
"1989";"A";"BE";"0"
"1989";"A";"U";"23"
"1989";"P";"T0";"490322.4267"
"1989";"P";"T1";"65431.8"
"1989";"P";"B0";"52152.2"
"1989";"P";"K0";"13279.6"
"1989";"P";"T2";"144837"
"1989";"P";"S0T";"18133"
"1989";"P";"STK";"0"
"1989";"P";"STL";"18133"
"1989";"P";"T3";"126704"
"1989";"P";"A";"99865"
"1989";"P";"K1";"26839"
"1989";"P";"D";
"1989";"P";"T4";"280053.6267"
"1989";"P";"T5";"174558.0764"
"1989";"P";"N0";"4763.0764"
"1989";"P";"TB1";"169795"
"1989";"P";"VGB";"123155"
"1989";"P";"VGK";"46640"
"1989";"P";"OH0";
"1989";"P";"US0";"0"
"1989";"P";"T6";"27260"
"1989";"P";"N1";
"1989";"P";"OH1";"125"
"1989";"P";"US1";"27135"
"1989";"P";"UP";"78235.5503"
"1989";"N";"T0";"262572.7733"
"1989";"N";"T1";"32917.3"
"1989";"N";"T2";"143648.1"
"1989";"N";"D";
"1989";"N";"T4";"34272.3733"
"1989";"N";"T7";"51735"
"1990";"A";"T0";"744818.5"
"1990";"A";"T1";"97471.4"
"1990";"A";"B0";"72959"
"1990";"A";"K0";"24512.4"
"1990";"A";"T2";"248120.1"
"1990";"A";"S0T";"194248"
"1990";"A";"STK";"2578"
"1990";"A";"STL";"191670"
"1990";"A";"T3";"53872.1"
"1990";"A";"A";"53872.1"
"1990";"A";"K1";"0"
"1990";"A";"D";
"1990";"A";"T4";"350000"
"1990";"A";"T5";"216254"
"1990";"A";"N0";"0"
"1990";"A";"TB1";"195799"
"1990";"A";"FGB";"103297"
"1990";"A";"OH0";"173"
"1990";"A";"US0";"20282"
"1990";"A";"T6";"90346"
"1990";"A";"N1";"0"
"1990";"A";"TB2";"68996"
"1990";"A";"FGK";"68996"
"1990";"A";"OH1";"1350"
"1990";"A";"US1";"20000"
"1990";"A";"UA";"43400"
"1990";"A";"T7";"49227"
"1990";"A";"G";"11904"
"1990";"A";"RIWF";"0"
"1990";"A";"S1";"113"
"1990";"A";"T8";"37210"
"1990";"A";"W";"37210"
"1990";"A";"BE";"0"
"1990";"A";"U";"0"
"1990";"P";"T0";"491507.5712"
"1990";"P";"T1";"68785.6"
"1990";"P";"B0";"57500.1"
"1990";"P";"K0";"11285.5"
"1990";"P";"T2";"121497"
"1990";"P";"S0T";"19190"
"1990";"P";"STK";"0"
"1990";"P";"STL";"19190"
"1990";"P";"T3";"102307"
"1990";"P";"A";"80204"
"1990";"P";"K1";"22103"
"1990";"P";"D";
"1990";"P";"T4";"301224.9712"
"1990";"P";"T5";"176982.3804"
"1990";"P";"N0";"4758.3804"
"1990";"P";"TB1";"172224"
"1990";"P";"VGB";"130049"
"1990";"P";"VGK";"42175"
"1990";"P";"OH0";
"1990";"P";"US0";"0"
"1990";"P";"T6";"28000"
"1990";"P";"N1";
"1990";"P";"OH1";"51"
"1990";"P";"US1";"27949"
"1990";"P";"UP";"96242.5908"
"1990";"N";"T0";"253310.9288"
"1990";"N";"T1";"28685.8"
"1990";"N";"T2";"126623.1"
"1990";"N";"D";
"1990";"N";"T4";"48775.0288"
"1990";"N";"T7";"49227"
"1991";"A";"T0";"809013.6"
"1991";"A";"T1";"112738.5"
"1991";"A";"B0";"89089"
"1991";"A";"K0";"23649.5"
"1991";"A";"T2";"291301.1"
"1991";"A";"S0T";"221310"
"1991";"A";"STK";"1737"
"1991";"A";"STL";"219573"
"1991";"A";"T3";"69991.1"
"1991";"A";"A";"69991.1"
"1991";"A";"K1";"0"
"1991";"A";"D";
"1991";"A";"T4";"352623"
"1991";"A";"T5";"213096"
"1991";"A";"N0";"0"
"1991";"A";"TB1";"193570"
"1991";"A";"FGB";"102350"
"1991";"A";"OH0";"155"
"1991";"A";"US0";"19371"
"1991";"A";"T6";"93767"
"1991";"A";"N1";"0"
"1991";"A";"TB2";"71841"
"1991";"A";"FGK";"71841"
"1991";"A";"OH1";"1225"
"1991";"A";"US1";"20701"
"1991";"A";"UA";"45760"
"1991";"A";"T7";"52351"
"1991";"A";"G";"11904"
"1991";"A";"RIWF";"0"
"1991";"A";"S1";"118"
"1991";"A";"T8";"40232"
"1991";"A";"W";"40232"
"1991";"A";"BE";"0"
"1991";"A";"U";"97"
"1991";"P";"T0";"520646.656444"
"1991";"P";"T1";"71711.8"
"1991";"P";"B0";"61141.5"
"1991";"P";"K0";"10570.3"
"1991";"P";"T2";"139784"
"1991";"P";"S0T";"23284"
"1991";"P";"STK";"0"
"1991";"P";"STL";"23284"
"1991";"P";"T3";"116500"
"1991";"P";"A";"93695"
"1991";"P";"K1";"22805"
"1991";"P";"D";
"1991";"P";"T4";"309150.856444"
"1991";"P";"T5";"184516.572"
"1991";"P";"N0";"4709.572"
"1991";"P";"TB1";"179807"
"1991";"P";"VGB";"137082"
"1991";"P";"VGK";"40680"
"1991";"P";"OH0";
"1991";"P";"US0";"0"
"1991";"P";"T6";"27399"
"1991";"P";"N1";
"1991";"P";"OH1";"49"
"1991";"P";"US1";"27350"
"1991";"P";"UP";"97235.284444"
"1991";"N";"T0";"288366.943556"
"1991";"N";"T1";"41026.7"
"1991";"N";"T2";"151517.1"
"1991";"N";"D";
"1991";"N";"T4";"43472.143556"
"1991";"N";"T7";"52351"
"1992";"A";"T0";"861726.1"
"1992";"A";"T1";"115626.1"
"1992";"A";"B0";"91649"
"1992";"A";"K0";"23977.1"
"1992";"A";"T2";"319678"
"1992";"A";"S0T";"237536.9"
"1992";"A";"STK";"1875"
"1992";"A";"STL";"235661.9"
"1992";"A";"T3";"82141.1"
"1992";"A";"A";"82141.1"
"1992";"A";"K1";"0"
"1992";"A";"D";
"1992";"A";"T4";"367225"
"1992";"A";"T5";"224979"
"1992";"A";"N0";"0"
"1992";"A";"TB1";"203895"
"1992";"A";"FGB";"110832"
"1992";"A";"OH0";"78"
