"CubeId";"auvezebq"
"PublishingDate";"2025-03-24 09:00"

"Date";"D0";"D1";"D2";"Value"
"2001-Q2";"N";"T";"K";"13466.22550725"
"2001-Q2";"N";"T";"K7";
"2001-Q2";"N";"T";"K7A";
"2001-Q2";"N";"T";"K7B";
"2001-Q2";"N";"T";"KA";
"2001-Q2";"N";"T";"LE";"597214.28721458"
"2001-Q2";"A";"T";"LE1";"2291503.89481805"
"2001-Q2";"A";"T";"LX";"49748.44230503"
"2001-Q2";"A";"T";"T";
"2001-Q2";"A";"T";"K";
"2001-Q2";"A";"T";"K7";
"2001-Q2";"A";"T";"K7A";
"2001-Q2";"A";"T";"K7B";
"2001-Q2";"A";"T";"KA";
"2001-Q2";"A";"T";"LE";"2341252.53712308"
"2001-Q2";"P";"T";"LE1";"1740433.41923611"
"2001-Q2";"P";"T";"LX";"3604.7606724"
"2001-Q2";"P";"T";"T";
"2001-Q2";"P";"T";"K";
"2001-Q2";"P";"T";"K7";
"2001-Q2";"P";"T";"K7A";
"2001-Q2";"P";"T";"K7B";
"2001-Q2";"P";"T";"KA";
"2001-Q2";"P";"T";"LE";"1744038.2499085"
"2001-Q3";"N";"T";"LE1";"597214.28721458"
"2001-Q3";"N";"T";"LX";"-27578.18392219"
"2001-Q3";"N";"T";"T";"9994.64957101"
"2001-Q3";"N";"T";"K";"-37572.83349319"
"2001-Q3";"N";"T";"K7";
"2001-Q3";"N";"T";"K7A";
"2001-Q3";"N";"T";"K7B";
"2001-Q3";"N";"T";"KA";
"2001-Q3";"N";"T";"LE";"569635.5932924"
"2001-Q3";"A";"T";"LE1";"2341252.53712308"
"2001-Q3";"A";"T";"LX";"-238966.07478579"
"2001-Q3";"A";"T";"T";
"2001-Q3";"A";"T";"K";
"2001-Q3";"A";"T";"K7";
"2001-Q3";"A";"T";"K7A";
"2001-Q3";"A";"T";"K7B";
"2001-Q3";"A";"T";"KA";
"2001-Q3";"A";"T";"LE";"2102285.93233729"
"2001-Q3";"P";"T";"LE1";"1744038.2499085"
"2001-Q3";"P";"T";"LX";"-211387.89086361"
"2001-Q3";"P";"T";"T";
"2001-Q3";"P";"T";"K";
"2001-Q3";"P";"T";"K7";
"2001-Q3";"P";"T";"K7A";
"2001-Q3";"P";"T";"K7B";
"2001-Q3";"P";"T";"KA";
"2001-Q3";"P";"T";"LE";"1532650.3390449"
"2001-Q4";"N";"T";"LE1";"569635.5932924"
"2001-Q4";"N";"T";"LX";"17180.05629656"
"2001-Q4";"N";"T";"T";"17423.02107152"
"2001-Q4";"N";"T";"K";"-242.96477495"
"2001-Q4";"N";"T";"K7";
"2001-Q4";"N";"T";"K7A";
"2001-Q4";"N";"T";"K7B";
"2001-Q4";"N";"T";"KA";
"2001-Q4";"N";"T";"LE";"586815.91958996"
"2001-Q4";"A";"T";"LE1";"2102285.93233729"
"2001-Q4";"A";"T";"LX";"117080.83148196"
"2001-Q4";"A";"T";"T";
"2001-Q4";"A";"T";"K";
"2001-Q4";"A";"T";"K7";
"2001-Q4";"A";"T";"K7A";
"2001-Q4";"A";"T";"K7B";
"2001-Q4";"A";"T";"KA";
"2001-Q4";"A";"T";"LE";"2219367.14381925"
"2001-Q4";"P";"T";"LE1";"1532650.3390449"
"2001-Q4";"P";"T";"LX";"99900.7751854"
"2001-Q4";"P";"T";"T";
"2001-Q4";"P";"T";"K";
"2001-Q4";"P";"T";"K7";
"2001-Q4";"P";"T";"K7A";
"2001-Q4";"P";"T";"K7B";
"2001-Q4";"P";"T";"KA";
"2001-Q4";"P";"T";"LE";"1632551.22422929"
"2002-Q1";"N";"T";"LE1";"586815.91958996"
"2002-Q1";"N";"T";"LX";"-7091.37707144"
"2002-Q1";"N";"T";"T";"4931.93781117"
"2002-Q1";"N";"T";"K";"-12023.21488262"
"2002-Q1";"N";"T";"K7";
"2002-Q1";"N";"T";"K7A";
"2002-Q1";"N";"T";"K7B";
