"CubeId";"bopovera"
"PublishingDate";"2025-03-24 09:00"

"Date";"D0";"Value"
"2017";"E0";"667362.09203559"
"2017";"A0";"630971.29934284"
"2017";"S8";"1110.06701038"
"2017";"E8";"2076.78358499"
"2017";"A8";"966.71657461"
"2017";"S9";"24890.90496401"
"2017";"NA0";"126452.56209614"
"2017";"NP0";"101561.65713213"
"2017";"S14";"-1494.21164644"
"2017";"SD";"-14104.16638556"
"2018";"S0";"39737.23966567"
"2018";"E0";"697049.40232931"
"2018";"A0";"657312.16266364"
"2018";"S8";"14149.71600145"
"2018";"E8";"17569.99016979"
"2018";"A8";"3420.27416833"
"2018";"S9";"87537.75487746"
"2018";"NA0";"-128065.26787036"
"2018";"NP0";"-215603.02274782"
"2018";"S14";"4145.23353909"
"2018";"SD";"37796.03274942"
"2019";"S0";"25151.64853172"
"2019";"E0";"691663.45333574"
"2019";"A0";"666511.80480402"
"2019";"S8";"-4472.99895167"
"2019";"E8";"14775.5745953"
"2019";"A8";"19248.57354697"
"2019";"S9";"39146.37324331"
"2019";"NA0";"50093.12790323"
"2019";"NP0";"10946.75465993"
"2019";"S14";"2247.3084366"
"2019";"SD";"20715.03209986"
"2020";"S0";"3429.29881402"
"2020";"E0";"622604.57362658"
"2020";"A0";"619175.27481256"
"2020";"S8";"-1123.32260931"
"2020";"E8";"1400.47853715"
"2020";"A8";"2523.80114646"
"2020";"S9";"48622.07522918"
"2020";"NA0";"-56805.71149402"
"2020";"NP0";"-105427.7867232"
"2020";"S14";"-9471.4043129"
"2020";"SD";"36844.69471157"
"2021";"S0";"52477.52106097"
"2021";"E0";"733909.06333601"
"2021";"A0";"681431.54227503"
"2021";"S8";"-19658.84201879"
"2021";"E8";"1327.99551767"
"2021";"A8";"20986.83753646"
"2021";"S9";"58031.09843966"
"2021";"NA0";"26561.92991046"
"2021";"NP0";"-31469.1685292"
"2021";"S14";"1310.19242561"
"2021";"SD";"26522.61182308"
"2022";"S0";"69000.49560078"
"2022";"E0";"823502.91480405"
"2022";"A0";"754502.41920327"
"2022";"S8";"-125.8118728"
